iter	Logloss
0	0.6626289625
1	0.6371902627
2	0.6158598647
3	0.5956441338
4	0.5818577082
5	0.5692952022
6	0.5575991829
7	0.5482887769
8	0.5395642993
9	0.5313800413
10	0.5251750754
11	0.5181503622
12	0.5122753327
13	0.506596235
14	0.5024175165
15	0.498330617
16	0.4943436151
17	0.490276672
18	0.4869945458
19	0.4826398522
20	0.4789639791
21	0.4758788265
22	0.4725069821
23	0.4690677524
24	0.4660669186
25	0.4640378219
26	0.4609399131
27	0.458694711
28	0.4549238902
29	0.4528935719
30	0.4508026989
31	0.4486038842
32	0.4452128523
33	0.4434971457
34	0.4409058378
35	0.4390897225
36	0.4362819455
37	0.4346741638
38	0.4323388594
39	0.430727826
40	0.4293076019
41	0.4277340449
42	0.4261234279
43	0.4246385991
44	0.4211722054
45	0.4191258283
46	0.4175314433
47	0.4157347803
48	0.413936534
49	0.4123659986
50	0.4111806801
51	0.4100870834
52	0.408369795
53	0.4070105074
54	0.4057319867
55	0.4033863392
56	0.402223347
57	0.4012710727
58	0.4003100939
59	0.3978924237
60	0.3968092146
61	0.3948040661
62	0.3940736336
63	0.3915326558
64	0.3901956002
65	0.3886583475
66	0.3873314678
67	0.3857888451
68	0.3845514257
69	0.3836899355
70	0.3829196673
71	0.3818816928
72	0.3807461894
73	0.3798455377
74	0.3791071453
75	0.3781622382
76	0.3771531534
77	0.3758042935
78	0.3750831218
79	0.3741306685
80	0.373317204
81	0.3725837209
82	0.371071249
83	0.3698375975
84	0.3692234291
85	0.3678050631
86	0.3668395018
87	0.3659228537
88	0.3653433889
89	0.3645923372
90	0.3634167595
91	0.3624682095
92	0.3608863408
93	0.3599257609
94	0.3589305901
95	0.3581180537
96	0.3575574304
97	0.3567506862
98	0.3557549732
99	0.3548502314
100	0.3538013843
101	0.3532362209
102	0.3527031878
103	0.3522488075
104	0.3509630319
105	0.3500669702
106	0.3492944844
107	0.3487428804
108	0.3478808211
109	0.346930526
110	0.3460375114
111	0.3450401656
112	0.3440792171
113	0.3436629311
114	0.3426639002
115	0.3419225368
116	0.3409525638
117	0.3402897551
118	0.3395944761
119	0.3391906301
120	0.338467205
121	0.3379009837
122	0.3372745262
123	0.3369118948
124	0.3364262468
125	0.336014252
126	0.3353820477
127	0.3345852474
128	0.3341296872
129	0.333411068
130	0.3326106859
131	0.3320509717
132	0.3311100609
133	0.3304213982
134	0.3298511533
135	0.3291578211
136	0.3283602318
137	0.3278860043
138	0.3275356371
139	0.3266914045
140	0.3260650447
141	0.3256882463
142	0.3251024892
143	0.3244307965
144	0.3236462134
145	0.3229945896
146	0.322424923
