iter	Passed	Remaining
400	24984	37321
401	25035	37241
402	25082	37157
403	25129	37072
404	25178	36990
405	25231	36915
406	25278	36831
407	25328	36751
408	25379	36673
409	25440	36610
410	25503	36549
411	25562	36483
412	25620	36414
413	25686	36358
414	25752	36301
415	25812	36236
416	25866	36163
417	25931	36105
418	25986	36033
419	26042	35963
420	26101	35897
421	26162	35833
422	26218	35764
423	26273	35692
424	26325	35616
425	26379	35544
426	26427	35463
427	26480	35389
428	26532	35314
429	26587	35243
430	26638	35167
431	26689	35092
432	26745	35021
433	26796	34946
434	26849	34874
435	26899	34796
436	26951	34721
437	27003	34647
438	27061	34581
439	27121	34518
440	27174	34446
441	27227	34373
442	27278	34298
443	27338	34234
444	27398	34170
445	27462	34112
446	27512	34036
447	27574	33976
448	27651	33932
449	27716	33876
450	27772	33807
451	27832	33743
452	27884	33670
453	27940	33602
454	27995	33532
455	28044	33457
456	28091	33377
457	28145	33307
458	28192	33228
459	28242	33154
460	28290	33077
461	28333	32994
462	28388	32925
463	28439	32852
464	28491	32780
465	28547	32713
466	28597	32638
467	28651	32569
468	28701	32495
469	28748	32419
470	28802	32349
471	28857	32281
472	28907	32207
473	28957	32134
474	29013	32067
475	29065	31995
476	29114	31921
477	29166	31851
478	29224	31787
479	29280	31720
480	29335	31653
481	29386	31581
482	29442	31514
483	29493	31443
484	29543	31371
485	29592	31297
486	29643	31226
487	29690	31150
488	29743	31081
489	29791	31006
490	29841	30935
491	29890	30862
492	29941	30791
493	29992	30721
494	30048	30655
495	30100	30585
496	30153	30517
497	30393	30637
498	30474	30596
499	30532	30532
500	30588	30466
501	30638	30394
502	30691	30324
503	30739	30251
504	30789	30179
505	30838	30107
506	30884	30031
507	30935	29961
508	30991	29895
509	31041	29823
510	31096	29757
511	31148	29688
512	31193	29612
513	31248	29545
514	31316	29491
515	31374	29429
516	31434	29367
517	31491	29302
518	31547	29238
519	31604	29173
520	31659	29107
521	31713	29039
522	31767	28973
523	31820	28906
524	31877	28841
525	31930	28774
526	31984	28707
527	32040	28642
528	32090	28571
529	32137	28499
530	32186	28428
531	32235	28357
532	32288	28289
533	32335	28217
534	32382	28145
535	32429	28073
536	32478	28002
537	32531	27935
538	32587	27871
539	32659	27820
540	32719	27760
541	32790	27708
542	32844	27642
543	32896	27574
544	32946	27505
545	32996	27436
546	33045	27366
547	33097	27299
548	33258	27321
549	33313	27256
550	33370	27193
551	33436	27136
552	33499	27078
553	33552	27011
554	33597	26938
555	33646	26868
556	33699	26802
557	33750	26734
558	33796	26661
559	33845	26592
560	33894	26523
561	33944	26454
562	33994	26386
563	34041	26316
564	34094	26250
565	34149	26185
566	34196	26114
567	34249	26048
568	34304	25984
569	34369	25927
570	34426	25864
571	34482	25801
572	34536	25736
573	34589	25671
574	34640	25603
575	34695	25539
576	34768	25488
577	34830	25430
578	34888	25368
579	34955	25312
580	35022	25256
581	35096	25206
582	35152	25143
583	35206	25078
584	35258	25012
585	35307	24944
586	35358	24877
587	35416	24815
588	35473	24753
